"author","year","title","doi","search","relevance","NM","NMspecific","coating","coatingtype","NMsize","NMsizeunits","NMconc","NMconcunits","applicationsite","presspulse","kingdom","phylum","class","order","family","genus","species","generalorganism","organism","trophiclevel","ecosystemgeneral","ecosystemspecific","settinggeneral","settingspecific","duration_days","responsegeneral","responsespecific","responseunits","expn","expmean","expsd","conn","conmean","consd","RRsignif_yn","RRp_modifier","RRp_value","response_nonRR","responseunits_nonRR","responsesd_nonRR","n_nonRR","MPcomparison_yn","MPsignif_yn","MPeffectdirection","MPp_modifier","MPp_value","IONcomparison_yn","IONsignif_yn","IONeffectdirection","IONp_modifier","IONp_value","expgeary","congeary","responseratio","RRvar","RRadj","RRadjvar","newcat","newtrophic","NMconcfixed","response_nonRRfixed","NMconcfixedunits","response_nonRRfixedunits","NMconcfixedmmol","response_nonRRfixedmmol","NMconcfixedmmolunits","response_nonRRfixedmmolunits"
"Muna ",2019,"Combined Effects of Test Media and Dietary Algae on the Toxicity of CuO and ZnO Nanoparticles to Freshwater Microcrustaceans Daphnia magna and Heterocypris incongruens: Food for Thought","10.3390/nano9010023","Aq. Producers",82,"Cu","CuO","no",NA,24.5,"nm",10,"mg/L","environment","pulse","Animalia","Arthropoda","Branchiopoda","Cladocera","Daphniidae","Daphnia","magna","microcrustacean","Daphnia magna","Primary consumer","Aquatic","artificial freshwater","Lab","Indoor",2,"ED/EC50","EC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,"mg/L",0.5,NA,"yes","not clear","smaller",NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EC50","Animal",10,1.6,"mg/L","mg/L",0.125715004085738,0.020114400653718,"mmol/L","mmol/L"
"Muna ",2019,"Combined Effects of Test Media and Dietary Algae on the Toxicity of CuO and ZnO Nanoparticles to Freshwater Microcrustaceans Daphnia magna and Heterocypris incongruens: Food for Thought","10.3390/nano9010023","Aq. Producers",82,"Zn","ZnO","no",NA,13.6,"nm",10,"mg/L","environment","pulse","Animalia","Arthropoda","Branchiopoda","Cladocera","Daphniidae","Daphnia","magna","microcrustacean","Daphnia magna","Primary consumer","Aquatic","artificial freshwater","Lab","Indoor",2,"ED/EC50","EC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,"mg/L",0.2,NA,"yes","not clear","greater",NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EC50","Animal",10,1.9,"mg/L","mg/L",0.122880314573605,0.023347259768985,"mmol/L","mmol/L"
"Muna ",2019,"Combined Effects of Test Media and Dietary Algae on the Toxicity of CuO and ZnO Nanoparticles to Freshwater Microcrustaceans Daphnia magna and Heterocypris incongruens: Food for Thought","10.3390/nano9010023","Aq. Producers",82,"Cu","CuO","no",NA,24.5,"nm",10,"mg/L","environment","pulse","Animalia","Arthropoda","Branchiopoda","Cladocera","Daphniidae","Daphnia","magna","microcrustacean","Daphnia magna","Primary consumer","Aquatic","lake water","Lab","Indoor",2,"ED/EC50","EC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,"mg/L",2.4,NA,"yes","not clear","smaller",NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EC50","Animal",10,6.3,"mg/L","mg/L",0.125715004085738,0.0792004525740147,"mmol/L","mmol/L"
"Muna ",2019,"Combined Effects of Test Media and Dietary Algae on the Toxicity of CuO and ZnO Nanoparticles to Freshwater Microcrustaceans Daphnia magna and Heterocypris incongruens: Food for Thought","10.3390/nano9010023","Aq. Producers",82,"Zn","ZnO","no",NA,13.6,"nm",10,"mg/L","environment","pulse","Animalia","Arthropoda","Branchiopoda","Cladocera","Daphniidae","Daphnia","magna","microcrustacean","Daphnia magna","Primary consumer","Aquatic","lake water","Lab","Indoor",2,"ED/EC50","EC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,"mg/L",0.04,NA,"yes","not clear","greater",NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EC50","Animal",10,0.5,"mg/L","mg/L",0.122880314573605,0.00614401572868027,"mmol/L","mmol/L"
"Muna ",2019,"Combined Effects of Test Media and Dietary Algae on the Toxicity of CuO and ZnO Nanoparticles to Freshwater Microcrustaceans Daphnia magna and Heterocypris incongruens: Food for Thought","10.3390/nano9010023","Aq. Producers",82,"Cu","CuO","no",NA,24.5,"nm",10,"mg/L","environment","pulse","Animalia","Arthropoda","Branchiopoda","Cladocera","Daphniidae","Daphnia","magna","microcrustacean","Daphnia magna","Primary consumer","Aquatic","lake water","Lab","Indoor",2,"ED/EC50","EC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,"mg/L",10,NA,"yes","not clear","smaller",NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EC50","Animal",10,28,"mg/L","mg/L",0.125715004085738,0.352002011440065,"mmol/L","mmol/L"
"Muna ",2019,"Combined Effects of Test Media and Dietary Algae on the Toxicity of CuO and ZnO Nanoparticles to Freshwater Microcrustaceans Daphnia magna and Heterocypris incongruens: Food for Thought","10.3390/nano9010023","Aq. Producers",82,"Zn","ZnO","no",NA,13.6,"nm",10,"mg/L","environment","pulse","Animalia","Arthropoda","Branchiopoda","Cladocera","Daphniidae","Daphnia","magna","microcrustacean","Daphnia magna","Primary consumer","Aquatic","lake water","Lab","Indoor",2,"ED/EC50","EC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,"mg/L",0.12,NA,"yes","not clear","greater",NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EC50","Animal",10,0.71,"mg/L","mg/L",0.122880314573605,0.00872450233472598,"mmol/L","mmol/L"
"Muna ",2019,"Combined Effects of Test Media and Dietary Algae on the Toxicity of CuO and ZnO Nanoparticles to Freshwater Microcrustaceans Daphnia magna and Heterocypris incongruens: Food for Thought","10.3390/nano9010023","Aq. Producers",82,"Cu","CuO","no",NA,24.5,"nm",10,"mg/L","environment","pulse","Animalia","Arthropoda","Ostracoda","Podocopida","Cyprididae","Heterocypris","incongruens","zooplankton","Heterocypris incongruens","Primary consumer","Aquatic","freshwater","Lab","Indoor",6,"LD/LC50","LC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,"mg/L",0.5,NA,"yes","not clear","smaller",NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC50","Animal",10,1.1,"mg/L","mg/L",0.125715004085738,0.0138286504494311,"mmol/L","mmol/L"
"Muna ",2019,"Combined Effects of Test Media and Dietary Algae on the Toxicity of CuO and ZnO Nanoparticles to Freshwater Microcrustaceans Daphnia magna and Heterocypris incongruens: Food for Thought","10.3390/nano9010023","Aq. Producers",82,"Zn","ZnO","no",NA,13.6,"nm",10,"mg/L","environment","pulse","Animalia","Arthropoda","Ostracoda","Podocopida","Cyprididae","Heterocypris","incongruens","zooplankton","Heterocypris incongruens","Primary consumer","Aquatic","freshwater","Lab","Indoor",6,"LD/LC50","LC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,"mg/L",0.06,NA,"yes","not clear","smaller",NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC50","Animal",10,0.36,"mg/L","mg/L",0.122880314573605,0.00442369132464979,"mmol/L","mmol/L"
"Muna ",2019,"Combined Effects of Test Media and Dietary Algae on the Toxicity of CuO and ZnO Nanoparticles to Freshwater Microcrustaceans Daphnia magna and Heterocypris incongruens: Food for Thought","10.3390/nano9010023","Aq. Producers",82,"Cu","CuO","no",NA,24.5,"nm",10,"mg/L","environment","pulse","Animalia","Arthropoda","Ostracoda","Podocopida","Cyprididae","Heterocypris","incongruens","zooplankton","Heterocypris incongruens","Primary consumer","Aquatic","lake water","Lab","Indoor",6,"LD/LC50","LC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,"mg/L",0.5,NA,"yes","not clear","smaller",NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC50","Animal",10,1.9,"mg/L","mg/L",0.125715004085738,0.0238858507762902,"mmol/L","mmol/L"
"Muna ",2019,"Combined Effects of Test Media and Dietary Algae on the Toxicity of CuO and ZnO Nanoparticles to Freshwater Microcrustaceans Daphnia magna and Heterocypris incongruens: Food for Thought","10.3390/nano9010023","Aq. Producers",82,"Zn","ZnO","no",NA,13.6,"nm",10,"mg/L","environment","pulse","Animalia","Arthropoda","Ostracoda","Podocopida","Cyprididae","Heterocypris","incongruens","zooplankton","Heterocypris incongruens","Primary consumer","Aquatic","lake water","Lab","Indoor",6,"LD/LC50","LC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,"mg/L",0.13,NA,"yes","not clear","smaller",NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC50","Animal",10,0.51,"mg/L","mg/L",0.122880314573605,0.00626689604325387,"mmol/L","mmol/L"
